row_index,lotName,failureType,nativeSplit,split
0,lot1,none,Training,validation
1,lot1,none,Training,validation
2,lot1,none,Training,validation
3,lot1,none,Training,validation
4,lot1,none,Training,validation
5,lot1,none,Training,validation
6,lot1,none,Training,validation
7,lot1,none,Training,validation
8,lot1,none,Training,validation
9,lot1,none,Training,validation
10,lot1,none,Training,validation
11,lot1,none,Training,validation
12,lot1,none,Training,validation
13,lot1,none,Training,validation
14,lot1,none,Training,validation
15,lot1,none,Training,validation
16,lot1,none,Training,validation
17,lot1,none,Training,validation
18,lot1,none,Training,validation
19,lot1,Loc,Training,validation
20,lot1,none,Training,validation
21,lot1,none,Training,validation
22,lot1,none,Training,validation
23,lot1,none,Training,validation
24,lot1,none,Training,validation
25,lot2,none,Training,train
26,lot2,none,Training,train
27,lot2,none,Training,train
28,lot2,none,Training,train
29,lot2,none,Training,train
30,lot2,none,Training,train
31,lot2,none,Training,train
32,lot2,none,Training,train
33,lot2,none,Training,train
34,lot2,none,Training,train
36,lot2,Edge-Loc,Training,train
37,lot2,Edge-Loc,Training,train
38,lot2,Edge-Loc,Training,train
39,lot2,Edge-Loc,Training,train
40,lot2,Loc,Training,train
41,lot2,Edge-Loc,Training,train
42,lot2,Edge-Loc,Training,train
43,lot2,Edge-Loc,Training,train
44,lot2,Center,Training,train
46,lot2,none,Training,train
47,lot2,Loc,Training,train
48,lot2,Edge-Loc,Training,train
49,lot2,Center,Training,train
50,lot3,none,Training,train
51,lot3,none,Training,train
52,lot3,none,Training,train
53,lot3,none,Training,train
54,lot3,none,Training,train
55,lot3,none,Training,train
56,lot3,none,Training,train
57,lot3,none,Training,train
58,lot3,none,Training,train
59,lot3,none,Training,train
60,lot3,none,Training,train
61,lot3,none,Training,train
62,lot3,none,Training,train
63,lot3,none,Training,train
64,lot3,none,Training,train
65,lot3,none,Training,train
66,lot3,none,Training,train
67,lot3,none,Training,train
68,lot3,none,Training,train
70,lot3,none,Training,train
71,lot3,none,Training,train
72,lot3,none,Training,train
73,lot3,Loc,Training,train
74,lot3,none,Training,train
75,lot4,none,Training,train
76,lot4,none,Training,train
77,lot4,none,Training,train
78,lot4,none,Training,train
79,lot4,none,Training,train
80,lot4,none,Training,train
81,lot4,none,Training,train
82,lot4,none,Training,train
83,lot4,none,Training,train
84,lot4,none,Training,train
85,lot4,none,Training,train
86,lot4,none,Training,train
87,lot4,none,Training,train
88,lot4,none,Training,train
89,lot4,none,Training,train
90,lot4,none,Training,train
91,lot4,none,Training,train
