phase,strategy,seed,epochs_ran,best_epoch,stopped_early,macro_f1,balanced_accuracy,accuracy,weighted_f1,validation_loss
screening,unweighted_ce,86,4,3,False,0.7445112958396555,0.7400490384031844,0.9594114075915701,0.9565111737401584,0.14234518568957105
screening,inverse_sqrt_ce,86,4,4,False,0.7729922467483864,0.7896282310589224,0.9631117920846463,0.9619373973108495,0.13213713063694293
screening,effective_number_ce,86,4,4,False,0.7681254890724561,0.812270599952258,0.9570119395218409,0.9578392262961338,0.15975314436721585
screening,inverse_sqrt_sampler,86,4,3,False,0.7887924558621301,0.8196415121147624,0.9525888236824608,0.9554657116757186,0.1554663032495787
screening,focal_loss,86,4,4,False,0.7193688740424665,0.6924860704053444,0.9583417651990402,0.9514538612300213,0.14553258149608914
confirmation,unweighted_ce,87,4,4,False,0.7214544079922693,0.7054146391922922,0.9589777687837877,0.9545147184128628,0.13440956753996025
confirmation,inverse_sqrt_sampler,87,4,4,False,0.8019524523088228,0.7922674706823192,0.9643548900002891,0.963017671853452,0.1168885608012146
confirmation,inverse_sqrt_ce,87,4,3,False,0.7585318042528661,0.7701517386358644,0.9591801335607528,0.956385808397626,0.13609156334931935
confirmation,unweighted_ce,88,4,3,False,0.7196955465078648,0.6805781578860294,0.9586886762452661,0.9520468102765722,0.13830537640473942
confirmation,inverse_sqrt_sampler,88,4,4,False,0.7956444584189334,0.8199719266772209,0.9562024804139805,0.9578753680650458,0.14148001343219493
confirmation,inverse_sqrt_ce,88,4,4,False,0.7838430132501358,0.7963014269577486,0.9577346708681449,0.9573997760648425,0.1420797496204388
