run,macro_f1,ci_lower,ci_upper,best_epoch,epochs,f1_Scratch,f1_none,state
baseline_cnn-rotation-p10-s86,0.8799610398490495,,,36.0,46,0.7315010570824524,0.9881976803510084,finished
baseline_cnn-dihedral8-rotation-p10-s86,0.867725482743076,,,16.0,26,0.5279583875162549,0.9840465593974668,finished
baseline_cnn-dihedral8-p10-s86,0.8587377500798493,,,23.0,33,0.6262975778546713,0.9860342825923648,finished
baseline_cnn-dihedral8-s86,0.8582001251424995,,,15.0,20,0.5636363636363636,0.9857613014341012,finished
baseline_cnn-224px-s86,0.832073300313133,,,14.0,19,0.5209302325581395,0.9869568178722244,finished
baseline_cnn-focal-loss-p10-s86,0.8245788175191664,,,15.0,25,0.35294117647058826,0.9867551900781882,finished
baseline_cnn-rotation-s86,0.8206271089062291,,,15.0,20,0.33066666666666666,0.9858009420854654,finished
baseline_cnn-focal-loss-s86,0.8203655907171898,,,23.0,28,0.4041450777202073,0.9863324582945212,finished
baseline_cnn-baseline-p10-s86,0.8173124150268635,,,8.0,18,0.37597911227154046,0.9863050573707056,finished
baseline_cnn-unweighted-ce-p10-s86,0.8159978660451492,,,19.0,29,0.37058823529411766,0.9868598837994864,finished
baseline_cnn-cbam-p10-s86,0.8157862046122291,,,15.0,25,0.39740820734341253,0.9839895414183604,finished
baseline_cnn-baseline-s86,0.8151866352838437,,,7.0,12,0.3641304347826087,0.9839397698883432,finished
baseline_cnn-cbam-s86,0.8127018409089654,,,5.0,10,0.3387096774193548,0.9862056156820368,finished
baseline_cnn-grayscale-p10-s86,0.8041749719694855,,,5.0,15,0.2973621103117506,0.9852364864864864,finished
baseline_cnn-grayscale-s86,0.8024595198185753,,,5.0,10,0.3047091412742382,0.9857752967683358,finished
baseline_cnn-224px-p10-s86,,,,,15,0.4812623274161736,0.9850746268656716,crashed
